cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;fecha_bbdd;codigo_bbdd;grado;agno
3;Región de Atacama;31;Copiapó;3101;Copiapó;31;Copiapo - Chanaral;275;259;15;21;1;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;31;Copiapó;3102;Caldera;31;Copiapo - Chanaral;266;242;16;14;1;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;31;Copiapó;3103;Tierra Amarilla;31;Copiapo - Chanaral;283;268;36;32;1;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;32;Chañaral;3201;Chañaral;31;Copiapo - Chanaral;241;236;1;14;0;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;32;Chañaral;3202;Diego de Almagro;31;Copiapo - Chanaral;261;248;8;8;0;0;20240418;final20240418v1;4b;2023
3;Región de Atacama;33;Huasco;3301;Vallenar;32;Huasco - Vallenar;274;262;5;10;0;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;33;Huasco;3302;Alto del Carmen;32;Huasco - Vallenar;271;253;24;20;1;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;33;Huasco;3303;Freirina;32;Huasco - Vallenar;253;238;7;11;0;1;20240418;final20240418v1;4b;2023
3;Región de Atacama;33;Huasco;3304;Huasco;32;Huasco - Vallenar;262;236;14;6;1;0;20240418;final20240418v1;4b;2023
4;Región de Coquimbo;41;Elqui;4101;La Serena;41;Elqui;274;260;2;7;0;1;20240418;final20240418v1;4b;2023
4;Región de Coquimbo;41;Elqui;4102;Coquimbo;41;Elqui;270;256;4;9;0;1;20240418;final20240418v1;4b;2023
4;Región de Coquimbo;41;Elqui;4103;Andacollo;41;Elqui;282;272;15;20;1;1;20240418;final20240418v1;4b;2023
4;Región de Coquimbo;41;Elqui;4104;La Higuera;41;Elqui;250;225;20;5;1;0;20240418;final20240418v1;4b;2023
