rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
11407;3;ESCUELA BASICA LOS OLIVOS;16;DE ÑUBLE;162;ITATA;16206;RÁNQUIL;161;Diguillín;2;1;1;2;4;4;244;219;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;2;2;269;266;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
24403;1;COLEGIO SIMON BOLIVAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;2;1;1;1;15;19;238;215;;13;;-22;;0;;-1;2;;1;;46.7;40.0;13.3;68.4;31.6;0.0;0;20240418;final20240418v1;4b;2023
2917;3;ESCUELA RAUCO;7;DEL MAULE;73;CURICÓ;7305;RAUCO;71;Curico;2;1;1;1;20;20;236;227;-21;-11;-15;-10;-1;0;-1;-1;;;;;45.0;40.0;15.0;60.0;40.0;0.0;0;20240418;final20240418v1;4b;2023
4506;3;ESCUELA HÉROES DE CHILE;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;82;Bio Bio;2;1;1;1;30;30;240;227;18;16;-11;-10;1;1;-1;-1;;;;;63.3;10.0;26.7;63.3;36.7;0.0;0;20240418;final20240418v1;4b;2023
5834;3;ESC. BASICA ALTO MECO;9;DE LA ARAUCANÍA;91;CAUTÍN;9108;LAUTARO;92;Cautin Norte;2;1;1;2;2;2;315;244;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
7423;3;ESCUELA RURAL ALEJANDRO VASQUEZ BALDEVELLANO;10;DE LOS LAGOS;103;OSORNO;10307;SAN PABLO;103;Osorno;2;1;;2;0;0;;;;;;;;;;;;;;;;;;;;;2;20240418;final20240418v1;4b;2023
20181;2;COLEGIO SAINT PATRICK SCHOOL;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;5;1;55;55;313;296;17;26;11;4;1;1;1;0;;;;;5.5;25.5;69.1;16.4;29.1;54.5;0;20240418;final20240418v1;4b;2023
2894;0;ESCUELA AMELIA VIAL DE CONCHA;7;DEL MAULE;73;CURICÓ;7302;HUALAÑÉ;71;Curico;2;1;2;2;22;22;272;272;0;2;12;25;0;0;1;1;;;;;22.7;40.9;36.4;18.2;50.0;31.8;0;20240418;final20240418v1;4b;2023
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;222;223;294;289;0;10;12;21;0;1;1;1;;;;;14.0;24.8;61.3;13.0;42.6;44.4;0;20240418;final20240418v1;4b;2023
5857;2;ESC. BASICA MALPICHAHUE;9;DE LA ARAUCANÍA;91;CAUTÍN;9108;LAUTARO;92;Cautin Norte;2;1;1;2;4;4;180;186;;;;;;;;;;;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
7185;4;ESCUELA PARTICULAR LOS AVELLANOS;14;DE LOS RÍOS;142;DEL RANCO;14201;LA UNIÓN;142;Ranco;3;2;1;2;2;3;199;213;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
8513;8;ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;2;1;4;1;56;54;260;239;-5;-4;-22;-29;0;0;-1;-1;;;;;41.1;23.2;35.7;59.3;29.6;11.1;0;20240418;final20240418v1;4b;2023
8728;9;COLEGIO GEORGE WASHINGTON;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13108;INDEPENDENCIA;137;Norte;3;2;3;1;80;82;276;261;7;-1;6;5;0;0;1;1;;;;;26.3;28.8;45.0;32.9;47.6;19.5;0;20240418;final20240418v1;4b;2023
10125;7;ESCUELA SARGENTO CANDELARIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13103;CERRO NAVIA;134;Poniente;6;4;1;1;16;16;256;232;23;8;5;-5;1;0;0;0;;;;;43.8;25.0;31.3;50.0;43.8;6.3;0;20240418;final20240418v1;4b;2023
12781;7;AMAZING GRACE ENGLISH SCHOOL;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;46;47;316;309;19;43;14;17;1;1;1;1;;;;;2.2;19.6;78.3;6.4;27.7;66.0;0;20240418;final20240418v1;4b;2023
14539;4;ESCUELA SANTA INÉS;5;DE VALPARAÍSO;56;SAN ANTONIO;5601;SAN ANTONIO;54;San Antonio;3;2;3;1;15;16;217;208;-14;;-53;-48;0;;-1;-1;;;;1;66.7;20.0;13.3;81.3;18.8;0.0;0;20240418;final20240418v1;4b;2023
1543;1;ESCUELA JORGE ALESSANDRI RODRIGUEZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;1;1;17;17;224;215;-52;-40;-27;-22;-1;-1;-1;-1;;;;;76.5;11.8;11.8;76.5;23.5;0.0;0;20240418;final20240418v1;4b;2023
10102;8;ESCUELA ALBERT EINSTEIN;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13124;PUDAHUEL;134;Poniente;6;4;2;1;16;16;281;252;-4;-2;21;5;0;0;1;0;;;;;12.5;37.5;50.0;43.8;37.5;18.8;0;20240418;final20240418v1;4b;2023
11430;8;COLEGIO TERESIANO PADRE ENRIQUE;8;DEL BIOBÍO;83;BIOBÍO;8306;NACIMIENTO;82;Bio Bio;3;2;4;1;84;86;290;278;15;19;8;10;1;1;1;1;;;;;15.5;28.6;56.0;16.3;52.3;31.4;0;20240418;final20240418v1;4b;2023
13188;1;COLEGIO CERVANTINO;3;DE ATACAMA;31;COPIAPÓ;3101;COPIAPÓ;31;Copiapo - Chanaral;3;2;4;1;78;81;283;266;15;12;1;-2;1;1;0;0;;;;;19.2;25.6;55.1;25.9;50.6;23.5;0;20240418;final20240418v1;4b;2023
1397;8;ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN TEMPLE;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;3;1;72;70;256;262;-6;1;-14;6;0;0;-1;1;;;;;38.9;26.4;34.7;32.9;41.4;25.7;0;20240418;final20240418v1;4b;2023
192;9;ESCUELA BASICA MAMINA;1;DE TARAPACÁ;14;TAMARUGAL;1401;POZO ALMONTE;14;Tamarugal;1;1;3;2;4;4;251;251;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
24426;0;ESCUELA PARTICULAR PHILIPPE COUSTEAU;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;3;1;26;27;279;250;26;9;9;-6;1;0;0;0;;;;;23.1;30.8;46.2;51.9;25.9;22.2;0;20240418;final20240418v1;4b;2023
31373;4;COLEGIO SAINT JOSEPH SCHOOL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13107;HUECHURABA;137;Norte;4;3;5;1;41;41;302;298;-14;0;0;6;0;0;0;0;;;;;7.3;26.8;65.9;7.3;46.3;46.3;0;20240418;final20240418v1;4b;2023
69;8;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;4;3;5;1;47;46;300;291;-10;8;-2;-1;0;0;0;0;;;;;8.5;31.9;59.6;21.7;26.1;52.2;0;20240418;final20240418v1;4b;2023
10171;0;ESCUELA PARTICULAR VILLA LOURDES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13117;LO PRADO;134;Poniente;3;2;3;1;62;62;266;257;-11;-16;-4;1;0;-1;0;0;;;;;30.6;35.5;33.9;35.5;50.0;14.5;0;20240418;final20240418v1;4b;2023
24311;6;COLEGIO FRANCES;12;DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;121;MAGALLANES;12101;PUNTA ARENAS;121;Magallanes;3;2;3;1;20;23;251;240;-12;-12;-19;-16;0;0;-1;-1;;;;;50.0;20.0;30.0;52.2;39.1;8.7;0;20240418;final20240418v1;4b;2023
25562;9;ESC BASICA PART SAN JOSE DE LA FAMILIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;3;2;2;1;99;104;274;256;1;1;14;9;0;0;1;1;;;;;22.2;35.4;42.4;39.4;43.3;17.3;0;20240418;final20240418v1;4b;2023
25639;0;ESCUELA BASICA Y ESPECIAL N° 1905 JACARANDA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;3;2;3;1;35;38;302;250;68;15;32;-6;1;1;1;-1;;;;;8.6;34.3;57.1;47.4;34.2;18.4;0;20240418;final20240418v1;4b;2023
2748;0;ESCUELA REPUBLICA ARGENTINA;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;2;1;1;1;16;16;252;238;9;10;1;1;0;0;0;0;;;;;37.5;31.3;31.3;50.0;37.5;12.5;0;20240418;final20240418v1;4b;2023
3086;4;ESCUELA LOS MONTES;7;DEL MAULE;71;TALCA;7109;SAN CLEMENTE;72;Talca;2;1;1;2;13;13;264;260;-12;-6;13;23;0;0;1;1;;;;;38.5;30.8;30.8;30.8;53.8;15.4;0;20240418;final20240418v1;4b;2023
430;8;LICEO POLITÉCNICO BELÉN;3;DE ATACAMA;31;COPIAPÓ;3101;COPIAPÓ;31;Copiapo - Chanaral;3;2;3;1;69;68;262;227;-3;1;-8;-29;0;0;-1;-1;;;;;31.9;34.8;33.3;69.1;26.5;4.4;0;20240418;final20240418v1;4b;2023
4414;8;ESCUELA BASICA MUNILQUE IZAURIETA;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;82;Bio Bio;2;1;1;2;3;3;271;213;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
10271;7;ESCUELA ARAUCARIAS DE CHILE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;1;1;2;1;27;27;256;245;-27;-18;-4;-2;-1;-1;0;0;;;;;40.7;25.9;33.3;55.6;33.3;11.1;0;20240418;final20240418v1;4b;2023
1781;7;ALLIANCE FRANCAISE DE VALPARAISO;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;60;59;301;292;14;15;-1;0;1;1;0;0;;;;;11.7;21.7;66.7;11.9;39.0;49.2;0;20240418;final20240418v1;4b;2023
2771;5;ESCUELA PABLO NERUDA;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;2;1;1;2;9;9;248;218;;;-3;-19;;;0;-1;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
2986;6;ESCUELA EL ORIENTE;7;DEL MAULE;71;TALCA;7101;TALCA;72;Talca;2;1;1;2;12;12;229;241;9;34;-22;4;0;1;-1;0;;;;;66.7;16.7;16.7;50.0;41.7;8.3;0;20240418;final20240418v1;4b;2023
4437;7;ESCUELA BASICA AURORA DE ENERO;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;82;Bio Bio;2;1;1;2;4;4;215;216;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
5765;7;ESCUELA PARTICULAR KIMELTU DE PANCO;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;2;2;2;2;328;248;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
14201;8;LICEO MIXTO LOS ANDES;5;DE VALPARAÍSO;53;LOS ANDES;5301;LOS ANDES;52;San Felipe - Los Andes;3;2;3;1;62;63;250;233;-16;3;-20;-23;-1;0;-1;-1;;;;;37.1;32.3;30.6;61.9;28.6;9.5;0;20240418;final20240418v1;4b;2023
1466;4;ESCUELA SUPERIOR MIXTA Nº88;5;DE VALPARAÍSO;58;MARGA MARGA;5802;LIMACHE;51;Quillota - Petorca;2;1;2;1;54;51;242;239;-13;-11;-18;-8;0;0;-1;-1;;;;;48.1;33.3;18.5;62.7;27.5;9.8;0;20240418;final20240418v1;4b;2023
1635;7;COLEGIO AGUSTIN EDWARDS;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;3;2;4;1;31;31;269;268;-4;-10;-13;0;0;0;-1;0;;;;;25.8;32.3;41.9;29.0;45.2;25.8;0;20240418;final20240418v1;4b;2023
1712;4;ESCUELA VILLA MONTE;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;1;1;2;1;26;27;235;229;-14;-7;-25;-18;0;0;-1;-1;;;;;53.8;38.5;7.7;70.4;29.6;0.0;0;20240418;final20240418v1;4b;2023
11522;3;ESCUELAS BASICA RENICO GRANDE;9;DE LA ARAUCANÍA;92;MALLECO;9207;LUMACO;91;Malleco;2;1;1;2;1;1;;;;;;;;;;;1;1;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
161;9;LICEO DE HUARA;1;DE TARAPACÁ;14;TAMARUGAL;1404;HUARA;14;Tamarugal;2;1;2;2;23;23;223;246;-15;24;-37;-1;0;1;-1;0;;;;;65.2;26.1;8.7;52.2;39.1;8.7;0;20240418;final20240418v1;4b;2023
1735;3;LICEO PARROQUIAL SAN ANTONIO;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;4;1;126;129;278;265;-7;-2;-4;-3;0;0;0;0;;;;;19.8;32.5;47.6;31.8;45.7;22.5;0;20240418;final20240418v1;4b;2023
25539;4;EJERCITO LIBERTADOR DE CERRILLOS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13102;CERRILLOS;134;Poniente;2;1;1;1;32;30;254;230;22;9;3;-7;1;0;0;0;;;;;50.0;25.0;25.0;63.3;33.3;3.3;0;20240418;final20240418v1;4b;2023
2817;7;ESCUELA SAN CRISTOBAL;7;DEL MAULE;73;CURICÓ;7308;TENO;71;Curico;2;1;2;2;33;33;273;259;0;8;13;12;0;0;1;1;;;;;33.3;27.3;39.4;42.4;39.4;18.2;0;20240418;final20240418v1;4b;2023
284;4;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;2;DE ANTOFAGASTA;21;ANTOFAGASTA;2101;ANTOFAGASTA;21;Antofagasta;1;1;2;1;53;54;264;247;20;25;4;0;1;1;0;0;;;;;30.2;39.6;30.2;46.3;31.5;22.2;0;20240418;final20240418v1;4b;2023
2940;8;LICEO CARLOS CONDELL;7;DEL MAULE;71;TALCA;7101;TALCA;72;Talca;2;1;2;1;9;9;208;220;-26;-14;-52;-27;0;0;-1;-1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
3063;5;ESCUELA CORRALONES;7;DEL MAULE;71;TALCA;7109;SAN CLEMENTE;72;Talca;2;1;1;2;15;16;247;231;0;-28;-4;-6;0;-1;0;0;;;;;46.7;26.7;26.7;62.5;37.5;0.0;0;20240418;final20240418v1;4b;2023
407;3;ESCUELA JESÚS FERNÁNDEZ HIDALGO;3;DE ATACAMA;31;COPIAPÓ;3101;COPIAPÓ;31;Copiapo - Chanaral;6;4;;1;0;0;;;;;;;;;;;;;;;;;;;;;5;20240418;final20240418v1;4b;2023
4268;4;ESCUELA PARTICULAR ADVENTISTA;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;3;2;4;1;41;39;279;265;8;19;-3;-3;0;1;0;0;;;;;22.0;24.4;53.7;30.8;38.5;30.8;0;20240418;final20240418v1;4b;2023
10156;7;ESCUELA JARDIN LO PRADO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13117;LO PRADO;134;Poniente;3;2;3;1;37;37;254;236;-9;1;-16;-20;0;0;-1;-1;;;;;45.9;24.3;29.7;54.1;43.2;2.7;0;20240418;final20240418v1;4b;2023
1251;3;ESCUELA BASICA CRISTO REDENTOR;5;DE VALPARAÍSO;53;LOS ANDES;5302;CALLE LARGA;52;San Felipe - Los Andes;2;1;2;2;19;19;249;239;10;12;-11;-8;0;0;-1;-1;;;;;36.8;42.1;21.1;68.4;21.1;10.5;0;20240418;final20240418v1;4b;2023
14247;6;COLLEGE SAINT ANDRE;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;4;3;4;1;10;8;271;237;-20;-14;-11;-31;0;0;0;-1;;;;;20.0;60.0;20.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
20235;5;GEORGE CHAYTOR ENGLISH COLLEGE;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;4;3;5;1;49;48;290;301;-3;13;-12;9;0;1;-1;1;;;;;16.3;30.6;53.1;4.2;39.6;56.3;0;20240418;final20240418v1;4b;2023
25393;6;COLEGIO QUINTO CENTENARIO CORDILLERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;4;1;29;30;286;271;16;10;4;3;1;0;0;0;;;;;13.8;20.7;65.5;26.7;50.0;23.3;0;20240418;final20240418v1;4b;2023
25654;4;COLEGIO EVEREST;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13115;LO BARNECHEA;133;Oriente;4;3;5;1;108;108;303;305;-5;5;1;13;0;0;0;1;;;;;12.0;19.4;68.5;5.6;30.6;63.9;0;20240418;final20240418v1;4b;2023
25808;3;ESC. BAS. PART. LAS NACIONES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;3;1;14;14;255;237;13;17;-15;-19;0;0;-1;-1;;;;;35.7;28.6;35.7;64.3;28.6;7.1;0;20240418;final20240418v1;4b;2023
2840;1;ESCUELA SUPERIOR DE MOLINA;7;DEL MAULE;73;CURICÓ;7304;MOLINA;71;Curico;2;1;1;1;27;25;266;246;35;16;15;9;1;1;1;1;;;;;33.3;29.6;37.0;48.0;44.0;8.0;0;20240418;final20240418v1;4b;2023
4168;8;ESCUELA GENERAL BERNARDO O HIGGINS;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;2;1;3;1;15;16;252;248;3;0;-18;-8;0;0;-1;0;;;;;33.3;33.3;33.3;37.5;43.8;18.8;0;20240418;final20240418v1;4b;2023
8828;5;LICEO BICENTENARIO SIMON BOLIVAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;1;1;4;1;85;87;282;295;-12;-21;0;27;-1;-1;0;1;;;;;24.7;27.1;48.2;11.5;34.5;54.0;0;20240418;final20240418v1;4b;2023
1689;6;ESCUELA ORO NEGRO;5;DE VALPARAÍSO;51;VALPARAÍSO;5103;CONCÓN;53;Valparaiso - Isla de Pascua;2;1;3;1;51;51;241;235;-11;-3;-29;-21;0;0;-1;-1;;;;;54.9;15.7;29.4;51.0;47.1;2.0;0;20240418;final20240418v1;4b;2023
22499;5;INSTITUTO INGLES ANTUQUENU;10;DE LOS LAGOS;101;LLANQUIHUE;10101;PUERTO MONTT;101;Llanquihue;3;2;2;1;49;51;251;246;1;12;-9;-1;0;1;-1;0;;;;;34.7;36.7;28.6;39.2;49.0;11.8;0;20240418;final20240418v1;4b;2023
26046;0;COLEGIO  MANQUECURA CIUDAD DE LOS VALLES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13124;PUDAHUEL;134;Poniente;4;3;5;1;128;129;300;286;10;0;-2;-6;1;0;0;-1;;;;;11.7;25.8;62.5;17.1;41.1;41.9;0;20240418;final20240418v1;4b;2023
361;1;COL. THE ANTOFAGASTA BRITISH SCHOOL;2;DE ANTOFAGASTA;21;ANTOFAGASTA;2101;ANTOFAGASTA;21;Antofagasta;4;3;5;1;53;55;304;291;8;2;2;-1;0;0;0;0;;;;;7.5;22.6;69.8;14.5;36.4;49.1;0;20240418;final20240418v1;4b;2023
40155;2;COLEGIO DIEGO VELÁZQUEZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;3;1;65;68;251;249;-28;-14;-19;-7;-1;-1;-1;-1;;;;;41.5;35.4;23.1;50.0;35.3;14.7;0;20240418;final20240418v1;4b;2023
4406;7;ESCUELA BASICA MULCHEN;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;82;Bio Bio;2;1;3;1;49;50;274;270;-7;19;4;14;0;1;0;1;;;;;26.5;26.5;46.9;30.0;38.0;32.0;0;20240418;final20240418v1;4b;2023
4560;8;LICEO CHIGUAYANTE;8;DEL BIOBÍO;81;CONCEPCIÓN;8103;CHIGUAYANTE;83;Concepcion;6;4;2;1;8;8;261;240;16;27;1;-7;0;1;0;0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
5734;7;ESCUELA PARTICULAR BOTRONHUE;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;2;2;3;3;246;239;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
7062;9;ESCUELA RURAL PULLINQUE;14;DE LOS RÍOS;141;VALDIVIA;14108;PANGUIPULLI;141;Valdivia;1;1;2;2;11;11;265;246;9;6;5;-1;0;0;0;0;;;;;27.3;45.5;27.3;54.5;45.5;0.0;0;20240418;final20240418v1;4b;2023
8390;9;ESCUELA HAMBURGO;11;DE AYSÉN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;112;AYSÉN;11202;CISNES;111;Coyhaique;2;1;2;2;6;6;274;258;-19;10;14;11;0;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
10202;4;ESCUELA DOMINGO SANTA MARIA GONZALEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;1;1;2;1;44;45;245;235;15;4;-15;-12;1;0;-1;-1;;;;;50.0;27.3;22.7;66.7;22.2;11.1;0;20240418;final20240418v1;4b;2023
15621;3;COLEGIO PARTICULAR EL REAL;6;DEL LIBERTADOR BERNARDO OHIGGINS;63;COLCHAGUA;6301;SAN FERNANDO;62;Colchagua;3;2;3;1;30;30;277;278;-6;17;7;22;0;1;0;1;;;;;20.0;36.7;43.3;23.3;43.3;33.3;0;20240418;final20240418v1;4b;2023
20281;9;COLEGIO ARRAYAN;9;DE LA ARAUCANÍA;91;CAUTÍN;9119;VILCÚN;92;Cautin Norte;3;2;4;2;20;18;230;227;-30;-7;-52;-41;-1;0;-1;-1;;;;;75.0;5.0;20.0;61.1;27.8;11.1;0;20240418;final20240418v1;4b;2023
10348;9;ESCUELA BASICA PART.MARY ANNE SCHOOL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;3;2;4;1;42;45;274;279;-7;8;-8;11;0;0;-1;1;;;;;28.6;26.2;45.2;26.7;33.3;40.0;0;20240418;final20240418v1;4b;2023
11676;9;ESCUELA BASICA LA HUERTA;8;DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;83;Concepcion;2;1;1;2;1;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
14639;0;COLEGIO GHERARDELLI;5;DE VALPARAÍSO;58;MARGA MARGA;5804;VILLA ALEMANA;53;Valparaiso - Isla de Pascua;3;2;2;1;8;14;263;242;;28;;-5;;1;;0;2;;1;;0.0;0.0;0.0;57.1;35.7;7.1;0;20240418;final20240418v1;4b;2023
3032;5;ESCUELA PARTICULAR SAN SEBASTIAN;7;DEL MAULE;71;TALCA;7106;PELARCO;72;Talca;3;2;2;2;11;11;262;256;6;-6;2;9;0;0;0;0;;;;;36.4;27.3;36.4;36.4;36.4;27.3;0;20240418;final20240418v1;4b;2023
315;8;ESCUELA HEROES DE LA CONCEPCION;2;DE ANTOFAGASTA;21;ANTOFAGASTA;2101;ANTOFAGASTA;21;Antofagasta;1;1;3;1;51;52;250;235;7;23;-20;-21;0;1;-1;-1;;;;;39.2;35.3;25.5;59.6;32.7;7.7;0;20240418;final20240418v1;4b;2023
7016;5;ESCUELA BASICA DE CORRAL;14;DE LOS RÍOS;141;VALDIVIA;14102;CORRAL;141;Valdivia;2;1;3;1;31;32;269;244;38;31;-1;-12;1;1;0;-1;;;;;25.8;29.0;45.2;46.9;46.9;6.3;0;20240418;final20240418v1;4b;2023
9020;4;COLEGIO SANTA CATALINA LABOURÉ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13113;LA REINA;133;Oriente;3;2;4;1;67;67;275;255;14;15;-7;-13;1;1;-1;-1;;;;;23.9;28.4;47.8;37.3;46.3;16.4;0;20240418;final20240418v1;4b;2023
169;4;ESCUELA QUISTAGAMA;1;DE TARAPACÁ;14;TAMARUGAL;1402;CAMIÑA;14;Tamarugal;2;1;4;2;2;2;298;276;;;;;;;;;;;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
2096;6;ESCUELA BASICA CLAUDIO VICUNA;5;DE VALPARAÍSO;56;SAN ANTONIO;5606;SANTO DOMINGO;54;San Antonio;2;1;3;2;17;17;301;282;55;30;31;26;1;1;1;1;;;;;5.9;23.5;70.6;5.9;70.6;23.5;0;20240418;final20240418v1;4b;2023
5588;3;ESCUELA MANUEL RECABARREN;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;2;1;2;1;31;28;249;236;-43;-38;-11;-11;-1;-1;-1;-1;;;;;41.9;35.5;22.6;53.6;39.3;7.1;0;20240418;final20240418v1;4b;2023
6916;7;ESCUELA ALBERTO CORDOVA LATORRE;14;DE LOS RÍOS;141;VALDIVIA;14103;LANCO;141;Valdivia;2;1;3;1;11;11;269;244;1;5;-1;-12;0;0;0;-1;;;;;18.2;54.5;27.3;45.5;54.5;0.0;0;20240418;final20240418v1;4b;2023
8244;9;ESCUELA RURAL DIAZ-LIRA;10;DE LOS LAGOS;102;CHILOÉ;10207;QUEILÉN;102;Chiloe;1;1;1;2;1;1;;;;;;;;;;;1;1;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
