rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
1540;7;ESCUELA BLAS CUEVAS RAMON ALLENDE;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;2;1;6;6;254;228;5;14;-6;-19;0;0;0;-1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
17693;1;COLEGIO BASICO NUEVA LOS LOBOS;8;DEL BIOBÍO;81;CONCEPCIÓN;8110;TALCAHUANO;83;Concepcion;2;1;2;1;43;43;239;238;-9;-1;-21;-9;0;0;-1;-1;;;;;55.8;25.6;18.6;58.1;25.6;16.3;0;20240418;final20240418v1;4b;2023
2302;7;ESCUELA BASICA VICTOR NICOLETTI TAMANINI;6;DEL LIBERTADOR BERNARDO OHIGGINS;61;CACHAPOAL;6115;RENGO;61;Cachapoal;2;1;2;2;21;21;284;260;56;62;24;13;1;1;1;1;;;;;23.8;28.6;47.6;42.9;28.6;28.6;0;20240418;final20240418v1;4b;2023
25611;0;ESCUELA BASICA N°1889 BARRIE MONTESSORI Nº 2;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13122;PEÑALOLÉN;133;Oriente;4;3;5;1;27;26;289;258;-6;-14;-13;-34;0;0;-1;-1;;;;;22.2;33.3;44.4;34.6;50.0;15.4;0;20240418;final20240418v1;4b;2023
31021;2;COLEGIO JUAN PABLO SEGUNDO;14;DE LOS RÍOS;141;VALDIVIA;14104;LOS LAGOS;141;Valdivia;3;2;2;1;10;10;275;248;22;36;15;1;1;1;1;0;;;;;10.0;50.0;40.0;50.0;40.0;10.0;0;20240418;final20240418v1;4b;2023
3799;0;ESCUELA CHACAY;16;DE ÑUBLE;163;PUNILLA;16303;ÑIQUÉN;161;Diguillín;2;1;2;2;19;18;240;223;17;4;-20;-24;0;0;-1;-1;;;;;47.4;42.1;10.5;77.8;22.2;0.0;0;20240418;final20240418v1;4b;2023
381;6;ESCUELA BÁSICA PEDRO LUJAN;3;DE ATACAMA;32;CHAÑARAL;3201;CHAÑARAL;31;Copiapo - Chanaral;6;4;2;1;20;20;230;217;-8;-28;-30;-30;0;-1;-1;-1;;;;;55.0;30.0;15.0;65.0;30.0;5.0;0;20240418;final20240418v1;4b;2023
5791;6;ESCUELA PARTICULAR WITRAMALAL;9;DE LA ARAUCANÍA;91;CAUTÍN;9112;PADRE LAS CASAS;93;Cautin Sur;3;2;1;2;2;2;265;213;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
7712;7;COLEGIO SAN ANTONIO;10;DE LOS LAGOS;101;LLANQUIHUE;10101;PUERTO MONTT;101;Llanquihue;3;2;3;2;9;9;305;276;43;20;35;20;1;0;1;1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
10268;7;ESCUELA PUERTO RICO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13127;RECOLETA;137;Norte;2;1;2;1;29;28;283;256;-3;-10;23;9;0;0;1;1;;;;;27.6;20.7;51.7;46.4;28.6;25.0;0;20240418;final20240418v1;4b;2023
