agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|4b|3333|2|ESCUELA CARLOS DEL CAMPO RIVERA|7|DEL MAULE|74|LINARES|7402|COLBÚN|73|Linares|2|1|2|2|11|12|229|214|-17|0|-26|-24|0|0|-1|-1|||||63.6|18.2|18.2|91.7|0|8.3|0|20231017|final20231017v2
2022|4b|3284|0|ESCUELA VIOLETA PARRA|7|DEL MAULE|74|LINARES|7401|LINARES|73|Linares|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|8757|2|COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13101|SANTIAGO|131|Centro|4|3|5|1|118|120|291|290|-11|0|-9|3|-1|0|-1|0|||||13.6|30.5|55.9|15.8|36.7|47.5|0|20231017|final20231017v2
2022|4b|12836|8|LICEO BICENTENARIO COLEGIO RÍO LOA|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|22|El Loa|3|2|2|1|85|85|239|232|-26|-36|-16|-6|-1|-1|-1|-1|||||56.5|20|23.5|61.2|32.9|5.9|0|20231017|final20231017v2
2022|4b|9433|1|ESCUELA PABLO NERUDA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13130|SAN MIGUEL|131|Centro|1|1|4|1|40|39|289|279|28|12|9|16|1|0|1|1|||||17.5|22.5|60|20.5|41|38.5|0|20231017|final20231017v2
2022|4b|777|3|ESC.BASICA HIJOS DE EL CHANAR|4|DE COQUIMBO|43|LIMARÍ|4305|RÍO HURTADO|42|Limari|2|1|2|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|25073|2|SANTA MARIA DEL PILAR DE LA FLORIDA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13110|LA FLORIDA|136|Cordillera|3|2|3|1|16|16|268|234|-12|-23|1|-15|0|-1|0|-1|||||25|25|50|43.8|50|6.3|0|20231017|final20231017v2
2022|4b|25334|0|ESCUELA BASICA RAICES ALTAZOR|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13110|LA FLORIDA|136|Cordillera|3|2|5|1|20|20|293|271|-3|-21|-7|-16|0|-1|0|-1|||||15|25|60|25|50|25|0|20231017|final20231017v2
2022|4b|20259|2|ESCUELA SAN MIGUEL DE IMPERIALITO|9|DE LA ARAUCANÍA|91|CAUTÍN|9102|CARAHUE|92|Cautin Norte|3|2|2|2|4|4|274|244|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|6350|9|ESCUELA RAYEN LAFQUEN QUEULE|9|DE LA ARAUCANÍA|91|CAUTÍN|9118|TOLTÉN|93|Cautin Sur|6|4|1|1|14|15|250|248|2|-4|5|20|0|0|0|1|||||35.7|50|14.3|40|40|20|0|20231017|final20231017v2
2022|4b|41899|4|COLEGIO SAN JORGE|8|DEL BIOBÍO|83|BIOBÍO|8304|LAJA|82|Bio Bio|3|2|4|1|27|28|275|248|0|0|-5|-15|0|0|0|-1|||3|3|25.9|29.6|44.4|46.4|42.9|10.7|0|20231017|final20231017v2
2022|4b|3433|9|COLEGIO CONCEPCION DE PARRAL|7|DEL MAULE|74|LINARES|7404|PARRAL|73|Linares|3|2|4|1|54|55|310|306|14|-6|30|43|1|0|1|1|||||5.6|18.5|75.9|5.5|30.9|63.6|0|20231017|final20231017v2
2022|4b|30005|5|COLEGIO MARIA MONTESSORI|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|3|2|3|1|93|98|275|245|-7|-26|8|-4|0|-1|1|0|||||24.7|31.2|44.1|50|37.8|12.2|0|20231017|final20231017v2
2022|4b|7418|7|ESCUELA BASICA SAN PABLO|10|DE LOS LAGOS|103|OSORNO|10307|SAN PABLO|103|Osorno|2|1|2|1|16|17|245|220|-20|-25|-10|-18|-1|-1|0|-1|||||43.8|25|31.3|58.8|29.4|11.8|0|20231017|final20231017v2
2022|4b|22025|6|ESCUELA PARTICULAR SAN MIGUEL|14|DE LOS RÍOS|141|VALDIVIA|14108|PANGUIPULLI|141|Valdivia|3|2|1|2|2|4|194|223|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|5709|6|ESCUELA PARTICULAR LOS TRIGALES|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin Norte|3|2|2|1|13|13|251|205|24|-13|-4|-33|1|0|0|-1|||||38.5|30.8|30.8|76.9|15.4|7.7|0|20231017|final20231017v2
2022|4b|11746|3|ESCUELA PARTICULAR LOS CONFINES|8|DEL BIOBÍO|82|ARAUCO|8205|CURANILAHUE|84|Arauco|3|2|1|1|21|20|230|212|-20|-15|-15|-16|-1|0|-1|-1|||||57.1|23.8|19|75|25|0|0|20231017|final20231017v2
