agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2017|4b|2075|3|COLEGIO EL TABO|5|DE VALPARAÍSO|6|SAN ANTONIO|3|EL TABO|2|1|2|1|42|42|241|237|-16|3|-15|-11|-1|0|-1|-1|||||52.4|26.2|21.4|45.2|52.4|2.4|0
2017|4b|7602|3|ESCUELA PARTICULAR N.161 HACIENDA HUITRAPULLI|10|DE LOS LAGOS|2|OSORNO|7|SAN JUAN DE LA COSTA|3|2|2|2|2|2|235|165|0|0|0|0|0|0|0|0|||2|2|||||||0
2017|4b|24889|4|LICEO MONSENOR ENRIQUE ALVEAR|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|29|PUDAHUEL|1|1|2|1|84|87|230|223|-3|-8|-26|-25|0|0|-1|-1|||||59.5|29.8|10.7|65.5|31|3.4|0
2017|4b|7436|5|ESCUELA PARTICULAR N.145 QUITRA QUITRA|10|DE LOS LAGOS|2|OSORNO|2|SAN PABLO|3|2|2|2|2|2|218|205|0|0|0|0|0|0|0|0|||2|2|||||||0
2017|4b|19934|6|ESCUELA PARTICULAR EL DESPERTAR|9|DE LA ARAUCANÍA|2|CAUTÍN|20|PADRE LAS CASAS|3|2|2|2|0|1||0||0||0||0||0|1|1|2|2|||||||0
2017|4b|4731|7|ESCUELA BÁSICA CRISTÓBAL COLÓN|8|DEL BIOBÍO|3|CONCEPCIÓN|12|HUALPÉN|2|1|2|1|5|8|228|208|0|-26|0|-40|0|0|0|-1|||1||||||||0
2017|4b|22398|0|COLEGIO ALIWEN|14|DE LOS RÍOS|1|VALDIVIA|1|VALDIVIA|3|2|5|1|17|18|313|273|17|6|10|-24|1|0|1|-1|||||0|23.5|76.5|22.2|61.1|16.7|0
2017|4b|8833|1|LICEO MARIA LUISA BOMBAL|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|7|VITACURA|3|2|5|1|34|34|317|321|18|23|14|24|1|1|1|1|||||11.8|20.6|67.6|2.9|20.6|76.5|0
2017|4b|4754|6|ESCUELA BASICA CERRO SAN FRANCISCO|8|DEL BIOBÍO|3|CONCEPCIÓN|2|TALCAHUANO|2|1|2|1|81|81|228|223|-10|-5|-28|-25|0|0|-1|-1|||||60.5|25.9|13.6|69.1|27.2|3.7|0
2017|4b|1173|8|ESCUELA ESTER SILVA SOMARRIVA BARTOLILLO|5|DE VALPARAÍSO|1|PETORCA|3|CABILDO|2|1|1|2|8|8|229|220|-18|-12|-21|-18|0|0|-1|-1|||||||||||0
2017|4b|4090|8|ESCUELA BASICA COLMUYAO|8|DEL BIOBÍO|1|ÑUBLE|17|COBQUECURA|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0
2017|4b|1863|5|COLEGIO GENERAL JOSE VELASQUEZ BORQUEZ|5|DE VALPARAÍSO|5|VALPARAÍSO|4|PUCHUNCAVÍ|2|1|2|1|22|22|247|243|0|-1|-9|-5|0|0|0|0|||||50|18.2|31.8|59.1|31.8|9.1|0
2017|4b|6818|7|ESCUELA RURAL LOS PELLINES|14|DE LOS RÍOS|1|VALDIVIA|1|VALDIVIA|2|1|2|2|5|5|257|231|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|10519|8|ESCUELA BASICA G-N°646 LO ARCAYA|13|METROPOLITANA DE SANTIAGO|3|CORDILLERA|3|PIRQUE|1|1|3|2|40|40|283|257|24|-2|13|-5|1|0|1|0|||||22.5|25|52.5|42.5|30|27.5|0
2017|4b|1557|1|ESCUELA VILLA BERLIN|5|DE VALPARAÍSO|5|VALPARAÍSO|1|VALPARAÍSO|1|1|2|1|11|10|232|233|-18|-15|-24|-15|0|0|-1|-1|||||54.5|36.4|9.1|70|20|10|0
2017|4b|3549|1|ESCUELA PORONGO|7|DEL MAULE|4|CAUQUENES|1|CAUQUENES|2|1|1|1|32|31|265|254|42|39|15|16|1|1|1|1|||||37.5|15.6|46.9|48.4|35.5|16.1|0
2017|4b|632|7|ESCUELA BASICA MANUEL DE SALAS|4|DE COQUIMBO|1|ELQUI|3|COQUIMBO|2|1|2|1|33|33|241|234|-37|-43|-15|-14|-1|-1|-1|-1|||||57.6|15.2|27.3|57.6|30.3|12.1|0
2017|4b|14790|7|COLEGIO SAINT-LAWRENCE|5|DE VALPARAÍSO|8|MARGA MARGA|3|QUILPUÉ|3|2|3|1|40|40|278|258|2|-17|8|-4|0|-1|1|0|||||25|25|50|35|50|15|0
2017|4b|11962|8|COLEGIO  PEDRO DE VALDIVIA-AGUSTINAS|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|1|SANTIAGO|4|3|5|1|80|84|316|305|24|-8|13|8|1|0|1|1|||||1.3|15|83.8|2.4|33.3|64.3|0
2017|4b|1534|2|ESCUELA REPUBLICA DEL URUGUAY|5|DE VALPARAÍSO|5|VALPARAÍSO|1|VALPARAÍSO|1|1|2|1|25|26|240|234|-18|-11|-16|-14|-1|0|-1|-1|||||52|32|16|53.8|38.5|7.7|0
2017|4b|8032|2|ESCUELA RURAL INES BAZAN|10|DE LOS LAGOS|4|CHILOÉ|1|CASTRO|1|1|2|2|3|3|245|274|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|14641|2|COLEGIO  PAULA  VIVANCO|5|DE VALPARAÍSO|8|MARGA MARGA|1|LIMACHE|3|2|3|1|29|28|273|273|-8|-15|3|11|0|-1|0|1|||||24.1|37.9|37.9|32.1|35.7|32.1|0
